"Name","optimizer","_wandb","epoch"
"optimizer: rmsprop","rmsprop","","7"
"optimizer: rmsprop","rmsprop","","20"
"optimizer: rmsprop","rmsprop","","13"
"optimizer: rmsprop","rmsprop","","6"
"optimizer: adan","adan","","100"
"optimizer: sgd","sgd","","100"
"optimizer: rmsprop","rmsprop","","75"
"optimizer: sgd","sgd","","100"
"optimizer: sgd","sgd","","100"
"optimizer: sgd","sgd","","100"
"optimizer: lion","lion","","100"
"optimizer: adan","adan","","100"
"optimizer: yogi","yogi","","100"
"optimizer: adan","adan","","100"
"optimizer: yogi","yogi","","100"
"optimizer: yogi","yogi","","100"
"optimizer: amsgrad","amsgrad","","7"
"optimizer: yogi","yogi","","100"
"optimizer: amsgrad","amsgrad","","8"
"optimizer: amsgrad","amsgrad","","9"
"optimizer: amsgrad","amsgrad","","6"
"optimizer: amsgrad","amsgrad","","9"
"optimizer: radam","radam","","7"
"optimizer: radam","radam","","8"
"optimizer: radam","radam","","43"
"optimizer: yogi","yogi","","100"
"optimizer: radam","radam","","66"
"optimizer: radam","radam","","27"
"optimizer: adamw","adamw","","26"
"optimizer: adamw","adamw","","8"
"optimizer: adamw","adamw","","32"
"optimizer: adamw","adamw","","6"
"optimizer: adamw","adamw","","11"
"optimizer: adam","adam","","7"
"optimizer: adam","adam","","8"
"optimizer: adamx","adamx","","7"
"optimizer: adam","adam","","20"
"optimizer: adamx","adamx","","6"
"optimizer: adam","adam","","6"
"optimizer: adamx","adamx","","7"
"optimizer: adam","adam","","7"
"optimizer: adamx","adamx","","6"
"optimizer: adamx","adamx","","7"
"optimizer: adagrad","adagrad","","100"
