"Step","optimizer: adamx - gamma","optimizer: adamx - gamma__MIN","optimizer: adamx - gamma__MAX"
"1","1.0073866759027754","0.9893226240362439","1.0279534884861536"
"2","1.0687089196273258","0.9729865959712437","1.1684060437338692"
"3","1.0604746290615625","1.0231499416487557","1.0896879051412856"
"4","1.1818233949797494","1.1193327520574843","1.2749730604035514"
"5","1.1194027057715825","1.045745279107775","1.1996089177472251"
"6","1.1032538975988113","1.0455999289240157","1.1853857806750707"
"7","1.2293446063995361","1.128760746547154","1.3741997693266188"
"8","1.1921050591128215","1.1730746243681227","1.217203574521201"
"9","1.300088143348694","1.214801209313529","1.3394876548222132"
"10","1.2381151735782623","1.160659032208579","1.3580819964408875"
"11","1.1933047975812638","1.082099803856441","1.5529467718941825"
"12","1.1967333972454073","1.1219572808061327","1.291938645499093"
"13","1.2584655165672303","1.1251844125134605","1.33899758543287"
"14","1.2231626025268008","1.098883990730558","1.324007613318307"
"15","1.2425848841667175","1.1404818466731481","1.3830400918211256"
"16","1.1880162026200976","1.0536699465342931","1.3236427051680428"
"17","1.1529994002410344","1.060558876820973","1.222691080399922"
"18","1.131685381276267","1.0789410982813155","1.1802542848246438"
"19","1.3733352422714236","1.2560841994626182","1.5017852102007185"
"20","1.2523598773138864","1.103226172072547","1.4511295557022095"
"21","1.332179147856576","1.1735225745609827","1.4555110931396484"
"22","1.2107663674013955","1.0482317677565984","1.395272399697985"
"23","1.1598472867693217","0.9340247128690992","1.3513586606298174"
"24","1.2597114733287265","1.0132239248071397","1.5044952886445182"
"25","1.4540405341557094","1.3548144102096558","1.6777537294796534"
"26","1.1971400959151133","0.9076973881040301","1.2993126383849554"
"27","1.1456165203026365","1.0371650670255934","1.2758389285632543"
"28","1.3079475564616065","1.0008393824100494","1.5731533425194877"
"29","1.3808480083942414","1.1353231498173304","1.6306675587381636"
"30","1.1538785883358547","1.0019925705024175","1.3857231651033675"
"31","1.2800639731543406","1.118469272341047","1.5591623527663094"
"32","1.3934767305850984","1.3412299581936427","1.478287432874952"
"33","1.2887689317975726","1.0803790475640977","1.5104296164853233"
"34","1.13431165601526","0.971978240779468","1.3706560645784651"
"35","1.4248007706233432","1.1556390055588313","1.626348810536521"
"36","1.2770109798227036","0.9696865081787109","1.7320868713515145"
"37","1.3517101747649058","1.0443209622587477","1.7403342127799988"
"38","1.238534356866564","1.1221644963536943","1.3317067282540458"
"39","1.2732123017311097","1.1393353385584695","1.5742604732513428"
"40","1.3486481496265956","1.005281490939004","1.6975178548267909"
"41","1.1899652319295064","1.02434869323458","1.3843408141817366"
