"Step","lively-dream-390 - gamma","lively-dream-390 - gamma__MIN","lively-dream-390 - gamma__MAX"
"1","1.0279534884861536","1.0279534884861536","1.0279534884861536"
"17","1.1552924939564295","1.1552924939564295","1.1552924939564295"
"22","1.139228058712823","1.139228058712823","1.139228058712823"
"26","1.0434509643486567","1.0434509643486567","1.0434509643486567"
"34","1.1487349612372262","1.1487349612372262","1.1487349612372262"
"49","1.3058990027223314","1.3058990027223314","1.3058990027223314"
"59","1.1493621638842992","1.1493621638842992","1.1493621638842992"
"60","1.2187098860740662","1.2187098860740662","1.2187098860740662"
"64","1.1964038440159388","1.1964038440159388","1.1964038440159388"
"73","1.1471018918922968","1.1471018918922968","1.1471018918922968"
"78","1.286396597112928","1.286396597112928","1.286396597112928"
"92","1.1528807580471039","1.1528807580471039","1.1528807580471039"
"103","1.396315770489829","1.396315770489829","1.396315770489829"
"119","1.2288226996149336","1.2288226996149336","1.2288226996149336"
"149","1.246814795902797","1.246814795902797","1.246814795902797"
"151","1.2131603232451849","1.2131603232451849","1.2131603232451849"
"154","1.1081177038805825","1.1081177038805825","1.1081177038805825"
"155","1.3392207877976554","1.3392207877976554","1.3392207877976554"
"157","1.1450313499995641","1.1450313499995641","1.1450313499995641"
"160","1.3102524067674364","1.3102524067674364","1.3102524067674364"
"163","1.2172009348869324","1.2172009348869324","1.2172009348869324"
"164","1.2332303864615304","1.2332303864615304","1.2332303864615304"
"167","1.3088724272591727","1.3088724272591727","1.3088724272591727"
"172","1.1689997570855277","1.1689997570855277","1.1689997570855277"
"174","1.136636244399207","1.136636244399207","1.136636244399207"
"176","1.3406791176114763","1.3406791176114763","1.3406791176114763"
"185","1.3492154308727808","1.3492154308727808","1.3492154308727808"
"193","1.2969952651432581","1.2969952651432581","1.2969952651432581"
"212","1.3600380165236337","1.3600380165236337","1.3600380165236337"
"225","1.29802582519395","1.29802582519395","1.29802582519395"
"250","1.1387958356312342","1.1387958356312342","1.1387958356312342"
"259","1.2419585202421461","1.2419585202421461","1.2419585202421461"
"266","1.161948676620211","1.161948676620211","1.161948676620211"
"278","1.1271648364407676","1.1271648364407676","1.1271648364407676"
"281","1.2175759204796381","1.2175759204796381","1.2175759204796381"
"290","1.1002179724829537","1.1002179724829537","1.1002179724829537"
"292","1.6202066540718079","1.6202066540718079","1.6202066540718079"
"295","1.4020212718418665","1.4020212718418665","1.4020212718418665"
"301","1.2909032361848014","1.2909032361848014","1.2909032361848014"
"305","1.0521889328956604","1.0521889328956604","1.0521889328956604"
"309","1.2645897737571172","1.2645897737571172","1.2645897737571172"
"317","1.5172576478549413","1.5172576478549413","1.5172576478549413"
"318","1.1066389977931976","1.1066389977931976","1.1066389977931976"
"337","1.0176271327904292","1.0176271327904292","1.0176271327904292"
"353","1.6204426714352198","1.6204426714352198","1.6204426714352198"
"368","1.2456967404910497","1.2456967404910497","1.2456967404910497"
