"Name","optimizer","dataset","_wandb","epoch"
"dataset: mnist","adamx","mnist","","10"
"dataset: mnist","adamx","mnist","","11"
"dataset: mnist","adamx","mnist","","11"
"dataset: mnist","adamx","mnist","","21"
"dataset: mnist","adamx","mnist","","13"
"dataset: mnist","yogi","mnist","","11"
"dataset: mnist","yogi","mnist","","7"
"dataset: mnist","yogi","mnist","","10"
"dataset: mnist","sgd","mnist","","100"
"dataset: mnist","sgd","mnist","","100"
"dataset: mnist","sgd","mnist","","100"
"dataset: mnist","rmsprop","mnist","","100"
"dataset: mnist","rmsprop","mnist","","100"
"dataset: mnist","rmsprop","mnist","","100"
"dataset: mnist","radam","mnist","","45"
"dataset: mnist","radam","mnist","","24"
"dataset: mnist","radam","mnist","","10"
"dataset: mnist","lion","mnist","","24"
"dataset: mnist","lion","mnist","","10"
"dataset: mnist","lion","mnist","","72"
"dataset: mnist","amsgrad","mnist","","10"
"dataset: mnist","amsgrad","mnist","","9"
"dataset: mnist","amsgrad","mnist","","10"
"dataset: mnist","adan","mnist","","62"
"dataset: mnist","adan","mnist","","22"
"dataset: mnist","adan","mnist","","30"
"dataset: mnist","adamw","mnist","","19"
"dataset: mnist","adamw","mnist","","40"
"dataset: mnist","adamw","mnist","","20"
"dataset: mnist","adam","mnist","","25"
"dataset: mnist","adam","mnist","","24"
"dataset: mnist","adam","mnist","","24"
"dataset: mnist","adagrad","mnist","","43"
"dataset: mnist","adagrad","mnist","","24"
"dataset: mnist","adagrad","mnist","","12"
